Date,Value 
2022-05-01,+5.
2022-05-02,+5.
2022-05-03,+4.
2022-05-04,+4.
2022-05-05,+0.
2022-05-06,+4.
2022-05-07,+4.
2022-05-08,+5.
2022-05-09,+5.
2022-05-10,+3.
2022-05-11,+3.
2022-05-12,+7.
2022-05-13,+12.
2022-05-14,+1.
2022-05-15,+0.
2022-05-16,+7.
2022-05-17,+7.
2022-05-18,+6.
2022-05-19,+5.
2022-05-20,+7.
2022-05-21,+5.
2022-05-22,+2.
2022-05-23,+6.
2022-05-24,+6.
2022-05-25,+2.
2022-05-26,+3.
2022-05-27,+5.
2022-05-28,+10.
2022-05-29,+7.
2022-05-30,+6.
2022-05-31,+12.
