Date,Value 
2022-07-01,+58.7
2022-07-02,+58.5
2022-07-03,+59.0
2022-07-04,+59.4
2022-07-05,+58.7
2022-07-07,+58.9
2022-07-08,+58.5
2022-07-09,+58.6
2022-07-10,+58.7
2022-07-11,+58.6
2022-07-12,+58.5
2022-07-14,+58.7
2022-07-15,+58.4
2022-07-16,+58.7
2022-07-17,+59.0
2022-07-18,+58.5
2022-07-19,+58.8
2022-07-20,+58.4
2022-07-21,+58.0
2022-07-22,+58.0
2022-07-23,+58.4
2022-07-24,+58.5
2022-07-25,+58.7
2022-07-26,+58.3
2022-07-27,+57.9
2022-07-28,+57.8
2022-07-29,+57.9
2022-07-30,+58.2
2022-07-31,+58.6
