Date,Value 
2022-08-01,+36.1
2022-08-02,+36.4
2022-08-03,+36.2
2022-08-04,+36.2
2022-08-05,+36.1
2022-08-06,+36.6
2022-08-07,+36.2
2022-08-08,+36.0
2022-08-09,+36.2
2022-08-10,+36.3
2022-08-11,+36.2
2022-08-12,+36.1
2022-08-13,+36.0
2022-08-14,+36.2
2022-08-15,+36.3
2022-08-16,+36.3
2022-08-17,+36.1
2022-08-18,+36.4
2022-08-19,+36.2
2022-08-20,+36.2
2022-08-21,+36.1
2022-08-22,+36.1
2022-08-23,+36.1
2022-08-24,+36.3
2022-08-25,+36.2
2022-08-26,+36.2
2022-08-27,+36.3
2022-08-28,+36.3
2022-08-29,+36.0
2022-08-30,+36.1
2022-08-31,+36.4
