Date,Value 
2022-12-01,+29.00
2022-12-02,+30.50
2022-12-03,+29.50
2022-12-04,+29.50
2022-12-05,+27.50
2022-12-06,+28.50
2022-12-07,+28.50
2022-12-08,+30.00
2022-12-09,+30.00
2022-12-10,+30.50
2022-12-11,+30.00
2022-12-12,+30.00
2022-12-13,+31.00
2022-12-14,+30.00
2022-12-15,+29.50
2022-12-16,+30.00
2022-12-17,+31.00
2022-12-18,+30.00
2022-12-19,+30.00
2022-12-20,+30.00
2022-12-21,+31.00
2022-12-22,+30.00
2022-12-23,+30.00
2022-12-24,+30.00
2022-12-25,+31.50
2022-12-26,+30.00
2022-12-27,+30.00
2022-12-28,+31.00
2022-12-29,+30.00
2022-12-30,+30.00
2022-12-31,+31.00
