Date,Value 
2023-03-01,+13.41
2023-03-02,+11.00
2023-03-03,+13.70
2023-03-04,+13.36
2023-03-05,+14.88
2023-03-06,+11.53
2023-03-07,+12.66
2023-03-08,+12.55
2023-03-09,+11.01
2023-03-10,+11.00
2023-03-11,+11.00
2023-03-12,+14.00
2023-03-13,+11.50
2023-03-14,+13.83
2023-03-15,+12.31
2023-03-16,+12.00
2023-03-17,+12.00
2023-03-18,+11.01
2023-03-19,+15.16
2023-03-20,+12.51
2023-03-21,+13.65
2023-03-22,+14.13
2023-03-23,+13.06
2023-03-24,+10.00
2023-03-25,+14.65
2023-03-26,+13.35
2023-03-27,+15.10
2023-03-28,+13.80
2023-03-29,+14.90
2023-03-30,+11.90
2023-03-31,+15.33
