Date,Value 
2022-03-01,+35.6
2022-03-02,+35.6
2022-03-03,+35.8
2022-03-04,+35.9
2022-03-05,+35.7
2022-03-06,+35.9
2022-03-07,+35.7
2022-03-08,+35.6
2022-03-09,+35.9
2022-03-10,+35.7
2022-03-11,+35.9
2022-03-12,+35.9
2022-03-13,+35.5
2022-03-14,+36.1
2022-03-15,+35.5
2022-03-16,+35.8
2022-03-17,+36.0
2022-03-18,+35.8
2022-03-19,+35.1
2022-03-20,+35.8
2022-03-21,+35.5
2022-03-22,+35.1
2022-03-23,+36.2
2022-03-24,+35.5
2022-03-25,+35.9
2022-03-26,+35.8
2022-03-27,+35.7
2022-03-28,+35.9
2022-03-29,+35.3
2022-03-30,+35.4
2022-03-31,+35.9
