Date,Value
2022-01-01,+14.33
2022-01-02,+12.95
2022-01-03,+10.55
2022-01-04,+11.08
2022-01-05,+10.60
2022-01-06,+10.03
2022-01-07,+14.51
2022-01-08,+11.88
2022-01-09,+12.91
2022-01-10,+11.43
2022-01-11,+12.18
2022-01-12,+13.58
2022-01-13,+11.53
2022-01-14,+13.58
2022-01-15,+13.28
2022-01-16,+12.96
2022-01-17,+11.66
2022-01-18,+12.60
2022-01-19,+13.13
2022-01-20,+14.48
2022-01-21,+12.00
2022-01-22,+12.31
2022-01-23,+12.95
2022-01-24,+13.30
2022-01-25,+12.31
2022-01-26,+14.16
2022-01-27,+12.55
2022-01-28,+11.81
2022-01-29,+13.28
2022-01-30,+11.88
2022-01-31,+12.00
