Date,Value 
2022-09-01,+12.30
2022-09-02,+11.48
2022-09-03,+14.16
2022-09-04,+11.00
2022-09-05,+11.83
2022-09-06,+11.50
2022-09-07,+12.50
2022-09-08,+12.50
2022-09-09,+12.05
2022-09-10,+12.75
2022-09-11,+11.00
2022-09-12,+11.33
2022-09-13,+10.86
2022-09-14,+12.78
2022-09-15,+10.91
2022-09-16,+11.55
2022-09-17,+14.00
2022-09-18,+10.95
2022-09-19,+13.01
2022-09-20,+11.30
2022-09-21,+10.91
2022-09-22,+14.00
2022-09-23,+11.01
2022-09-24,+14.66
2022-09-25,+11.51
2022-09-26,+12.10
2022-09-27,+12.61
2022-09-28,+12.90
2022-09-29,+12.03
2022-09-30,+11.00
