Date,Value 
2021-05-01,+61.1
2021-05-02,+60.9
2021-05-03,+60.3
2021-05-04,+60.6
2021-05-05,+60.1
2021-05-06,+60.3
2021-05-07,+60.3
2021-05-08,+60.8
2021-05-09,+60.3
2021-05-10,+60.5
2021-05-11,+60.3
2021-05-12,+60.2
2021-05-13,+60.4
2021-05-14,+60.2
2021-05-15,+59.6
2021-05-16,+59.8
2021-05-18,+60.2
2021-05-19,+60.9
2021-05-20,+59.8
2021-05-21,+59.5
2021-05-22,+60.0
2021-05-23,+59.8
2021-05-24,+60.5
2021-05-26,+59.6
2021-05-27,+59.2
2021-05-28,+59.9
2021-05-29,+59.9
2021-05-30,+59.8
2021-05-31,+59.2
