Date,Value
2021-11-01,+27.50
2021-11-02,+30.50
2021-11-03,+29.50
2021-11-04,+29.00
2021-11-05,+30.00
2021-11-06,+29.00
2021-11-07,+26.50
2021-11-08,+30.00
2021-11-09,+30.00
2021-11-10,+30.00
2021-11-11,+30.00
2021-11-12,+30.00
2021-11-13,+29.00
2021-11-14,+30.00
2021-11-15,+30.00
2021-11-16,+28.00
2021-11-17,+29.00
2021-11-18,+29.00
2021-11-19,+30.00
2021-11-20,+30.00
2021-11-21,+29.00
2021-11-22,+29.00
2021-11-23,+30.00
2021-11-24,+28.50
2021-11-25,+30.00
2021-11-26,+30.50
2021-11-27,+28.00
2021-11-28,+30.00
2021-11-29,+30.00
2021-11-30,+29.50
