Date,Value 
2022-09-01,+36.0
2022-09-02,+35.9
2022-09-03,+36.4
2022-09-04,+36.3
2022-09-05,+36.1
2022-09-06,+36.3
2022-09-07,+36.3
2022-09-08,+36.1
2022-09-09,+36.3
2022-09-10,+36.4
2022-09-11,+35.9
2022-09-12,+36.1
2022-09-13,+36.3
2022-09-14,+36.6
2022-09-15,+36.0
2022-09-16,+36.3
2022-09-17,+36.5
2022-09-18,+36.2
2022-09-19,+36.5
2022-09-20,+36.2
2022-09-21,+35.8
2022-09-22,+36.5
2022-09-23,+36.2
2022-09-24,+36.4
2022-09-25,+36.1
2022-09-26,+35.9
2022-09-28,+36.5
2022-09-29,+36.2
2022-09-30,+36.0
