Date,Value 
2022-03-01,+36.2
2022-03-02,+36.2
2022-03-03,+36.2
2022-03-04,+36.1
2022-03-05,+36.0
2022-03-06,+36.2
2022-03-07,+36.1
2022-03-08,+36.1
2022-03-09,+36.4
2022-03-10,+36.3
2022-03-11,+36.4
2022-03-12,+36.3
2022-03-13,+36.1
2022-03-14,+36.5
2022-03-15,+36.1
2022-03-16,+36.3
2022-03-17,+36.4
2022-03-18,+36.1
2022-03-19,+36.4
2022-03-20,+36.4
2022-03-21,+35.9
2022-03-22,+36.3
2022-03-23,+36.4
2022-03-24,+35.9
2022-03-25,+36.6
2022-03-26,+36.2
2022-03-27,+36.1
2022-03-28,+36.4
2022-03-29,+36.1
2022-03-30,+36.3
2022-03-31,+36.5
