Date,Value 
2022-06-01,+10.50
2022-06-02,+12.06
2022-06-03,+11.96
2022-06-04,+11.01
2022-06-05,+11.50
2022-06-06,+11.36
2022-06-07,+13.90
2022-06-08,+14.41
2022-06-09,+11.50
2022-06-10,+13.45
2022-06-11,+14.08
2022-06-12,+13.73
2022-06-13,+12.60
2022-06-14,+11.81
2022-06-15,+13.05
2022-06-16,+13.76
2022-06-17,+11.10
2022-06-18,+13.33
2022-06-19,+12.73
2022-06-20,+12.28
2022-06-21,+12.08
2022-06-22,+14.38
2022-06-23,+11.28
2022-06-24,+11.00
2022-06-25,+14.01
2022-06-26,+11.50
2022-06-27,+11.66
2022-06-28,+12.51
2022-06-29,+13.65
2022-06-30,+12.85
