Date,Value 
2022-12-01,+4.56
2022-12-02,+6.50
2022-12-03,+7.93
2022-12-04,+6.08
2022-12-05,+5.96
2022-12-06,+6.75
2022-12-07,+7.66
2022-12-08,+7.15
2022-12-09,+4.90
2022-12-10,+7.35
2022-12-11,+7.71
2022-12-12,+5.06
2022-12-13,+5.71
2022-12-14,+7.08
2022-12-15,+6.90
2022-12-16,+6.65
2022-12-17,+5.50
2022-12-18,+7.65
2022-12-19,+5.73
2022-12-20,+6.51
2022-12-21,+7.01
2022-12-22,+7.52
2022-12-23,+6.10
2022-12-24,+6.25
2022-12-25,+5.55
2022-12-26,+7.16
2022-12-27,+5.66
2022-12-28,+6.36
2022-12-29,+8.20
2022-12-30,+6.80
2022-12-31,+6.06
