Date,Value
2022-01-01,+36.3
2022-01-02,+36.4
2022-01-03,+35.8
2022-01-04,+36.2
2022-01-05,+36.1
2022-01-06,+36.7
2022-01-07,+36.3
2022-01-08,+35.9
2022-01-09,+36.3
2022-01-10,+36.5
2022-01-11,+36.0
2022-01-12,+36.3
2022-01-13,+36.1
2022-01-14,+36.3
2022-01-15,+36.3
2022-01-16,+36.1
2022-01-17,+36.0
2022-01-18,+36.4
2022-01-19,+36.3
2022-01-20,+36.3
2022-01-21,+36.3
2022-01-22,+36.3
2022-01-23,+36.2
2022-01-24,+36.5
2022-01-25,+36.3
2022-01-26,+36.4
2022-01-27,+36.4
2022-01-28,+36.2
2022-01-29,+36.4
2022-01-30,+36.2
2022-01-31,+36.2
