Date,Value 
2022-09-01,+35.7
2022-09-02,+35.5
2022-09-03,+35.8
2022-09-04,+36.1
2022-09-05,+35.8
2022-09-06,+35.6
2022-09-07,+35.8
2022-09-08,+35.5
2022-09-09,+35.6
2022-09-10,+36.0
2022-09-11,+35.6
2022-09-12,+35.4
2022-09-13,+35.8
2022-09-14,+35.9
2022-09-15,+35.1
2022-09-16,+36.0
2022-09-17,+36.2
2022-09-18,+35.8
2022-09-19,+35.9
2022-09-20,+35.7
2022-09-21,+35.3
2022-09-22,+36.0
2022-09-23,+35.7
2022-09-24,+36.0
2022-09-25,+35.8
2022-09-26,+35.5
2022-09-28,+35.8
2022-09-29,+35.9
2022-09-30,+35.3
