Date,Value 
2021-09-01,+31.75
2021-09-02,+30.50
2021-09-03,+30.75
2021-09-04,+32.66
2021-09-05,+31.66
2021-09-06,+33.50
2021-09-07,+33.75
2021-09-08,+32.75
2021-09-09,+33.50
2021-09-10,+33.00
2021-09-11,+32.50
2021-09-12,+30.50
2021-09-13,+32.50
2021-09-14,+32.50
2021-09-15,+36.00
2021-09-16,+32.00
2021-09-17,+32.00
2021-09-18,+32.00
2021-09-19,+30.50
2021-09-20,+32.00
2021-09-21,+36.50
2021-09-22,+32.83
2021-09-23,+33.00
2021-09-24,+37.33
2021-09-25,+34.66
2021-09-26,+28.75
2021-09-27,+29.75
2021-09-28,+29.75
2021-09-29,+29.75
2021-09-30,+29.50
