Date,Value
2021-12-01,+7.45
2021-12-02,+7.75
2021-12-03,+6.10
2021-12-04,+8.80
2021-12-05,+8.03
2021-12-06,+6.75
2021-12-07,+6.36
2021-12-08,+7.61
2021-12-09,+6.55
2021-12-10,+6.01
2021-12-11,+7.56
2021-12-12,+6.48
2021-12-13,+7.00
2021-12-14,+8.46
2021-12-15,+5.20
2021-12-16,+7.26
2021-12-17,+4.70
2021-12-18,+7.15
2021-12-19,+8.35
2021-12-20,+8.05
2021-12-21,+5.56
2021-12-22,+7.93
2021-12-23,+6.00
2021-12-24,+6.00
2021-12-25,+7.50
2021-12-26,+6.66
2021-12-27,+6.50
2021-12-28,+6.90
2021-12-29,+7.61
2021-12-30,+8.46
2021-12-31,+7.65
