Date,Value 
2021-09-01,+14.96
2021-09-02,+15.75
2021-09-03,+13.38
2021-09-04,+14.46
2021-09-05,+15.55
2021-09-06,+14.50
2021-09-07,+14.50
2021-09-08,+14.96
2021-09-09,+14.36
2021-09-10,+14.85
2021-09-11,+14.11
2021-09-12,+14.00
2021-09-13,+14.10
2021-09-14,+13.00
2021-09-15,+14.50
2021-09-16,+16.01
2021-09-17,+13.16
2021-09-18,+15.05
2021-09-19,+13.00
2021-09-20,+15.00
2021-09-21,+13.00
2021-09-22,+17.00
2021-09-23,+13.00
2021-09-24,+14.00
2021-09-25,+17.03
2021-09-26,+13.50
2021-09-27,+14.00
2021-09-28,+13.06
2021-09-29,+14.21
2021-09-30,+14.01
