Date,Value 
2022-10-01,+11.33
2022-10-02,+14.93
2022-10-03,+11.01
2022-10-04,+11.75
2022-10-05,+11.00
2022-10-06,+13.11
2022-10-07,+11.50
2022-10-08,+13.55
2022-10-09,+11.53
2022-10-10,+12.00
2022-10-11,+11.50
2022-10-12,+13.68
2022-10-13,+11.50
2022-10-14,+11.50
2022-10-15,+12.68
2022-10-16,+11.00
2022-10-17,+10.86
2022-10-18,+11.03
2022-10-19,+14.35
2022-10-20,+11.50
2022-10-21,+11.50
2022-10-22,+13.86
2022-10-23,+11.00
2022-10-24,+12.46
2022-10-25,+11.58
2022-10-26,+14.11
2022-10-27,+12.20
2022-10-28,+12.00
2022-10-29,+14.58
2022-10-30,+11.63
2022-10-31,+14.13
