Date,Value 
2022-05-01,+5.13
2022-05-02,+6.96
2022-05-03,+6.00
2022-05-04,+5.10
2022-05-05,+4.46
2022-05-06,+5.91
2022-05-07,+6.16
2022-05-08,+4.55
2022-05-09,+5.05
2022-05-10,+4.86
2022-05-11,+5.50
2022-05-12,+6.65
2022-05-13,+5.50
2022-05-14,+6.33
2022-05-15,+4.78
2022-05-16,+6.03
2022-05-17,+5.05
2022-05-18,+5.08
2022-05-19,+5.80
2022-05-20,+5.00
2022-05-21,+6.16
2022-05-22,+6.00
2022-05-23,+6.01
2022-05-24,+5.15
2022-05-25,+5.15
2022-05-26,+5.01
2022-05-27,+5.25
2022-05-28,+6.63
2022-05-29,+5.56
2022-05-30,+5.38
2022-05-31,+7.15
