Date,Value
2022-02-01,+30.50
2022-02-02,+29.50
2022-02-03,+29.50
2022-02-04,+31.00
2022-02-05,+30.00
2022-02-06,+31.00
2022-02-07,+30.00
2022-02-08,+30.50
2022-02-09,+27.50
2022-02-10,+27.50
2022-02-11,+28.00
2022-02-12,+28.00
2022-02-13,+26.50
2022-02-14,+26.00
2022-02-15,+27.25
2022-02-16,+28.00
2022-02-17,+26.50
2022-02-18,+28.50
2022-02-19,+27.50
2022-02-20,+27.50
2022-02-21,+28.50
2022-02-22,+27.00
2022-02-23,+28.00
2022-02-24,+28.50
2022-02-25,+28.00
2022-02-26,+28.00
2022-02-27,+28.50
2022-02-28,+28.50
