Date,Value 
2022-04-01,+6.66
2022-04-02,+6.31
2022-04-03,+4.81
2022-04-04,+5.61
2022-04-05,+5.15
2022-04-06,+6.53
2022-04-07,+5.78
2022-04-08,+5.03
2022-04-09,+6.86
2022-04-10,+3.66
2022-04-11,+5.12
2022-04-12,+5.30
2022-04-13,+6.06
2022-04-14,+5.00
2022-04-15,+5.51
2022-04-16,+6.50
2022-04-17,+4.55
2022-04-18,+5.16
2022-04-19,+4.95
2022-04-20,+5.01
2022-04-21,+5.26
2022-04-22,+5.36
2022-04-23,+5.36
2022-04-24,+5.15
2022-04-25,+4.55
2022-04-26,+5.00
2022-04-27,+5.16
2022-04-28,+5.01
2022-04-29,+5.51
2022-04-30,+6.20
