Date,Value
2006-08-01,70.9
2006-08-02,70.9
2006-08-03,71.1
2006-08-04,70.8
2006-08-05,70.6
2006-08-06,70.4
2006-08-07,71.5
2006-08-08,70.7
2006-08-09,70.9
2006-08-10,70.9
2006-08-11,71.3
2006-08-12,71.3
2006-08-13,71.4
2006-08-14,71.3
2006-08-15,71.2
2006-08-16,70.9
2006-08-17,70.1
2006-08-18,70.2
2006-08-19,70.9
2006-08-20,71.2
2006-08-21,71.7
2006-08-22,71.6
2006-08-23,70.7
2006-08-24,71.3
2006-08-25,71.5
2006-08-26,71.3
2006-08-27,70.5
2006-08-28,70.7
2006-08-29,71.7
2006-08-30,71.3
2006-08-31,71.1
