Date,Value
2021-10-01,+36.4
2021-10-02,+36.4
2021-10-03,+36.1
2021-10-04,+36.1
2021-10-05,+36.1
2021-10-06,+36.1
2021-10-07,+36.3
2021-10-08,+36.6
2021-10-10,+36.2
2021-10-11,+36.3
2021-10-12,+36.1
2021-10-13,+36.4
2021-10-14,+36.7
2021-10-15,+36.4
2021-10-16,+36.4
2021-10-17,+36.3
2021-10-18,+35.9
2021-10-19,+36.1
2021-10-20,+36.3
2021-10-21,+36.3
2021-10-22,+36.2
2021-10-23,+36.5
2021-10-24,+36.3
2021-10-25,+36.3
2021-10-26,+36.0
2021-10-27,+36.3
2021-10-28,+36.4
2021-10-29,+36.1
2021-10-30,+36.2
2021-10-31,+36.1
