Date,Value 
2023-03-01,+30.00
2023-03-02,+31.50
2023-03-03,+30.50
2023-03-04,+32.50
2023-03-05,+30.00
2023-03-06,+30.50
2023-03-07,+30.50
2023-03-08,+30.00
2023-03-09,+30.00
2023-03-10,+30.50
2023-03-11,+31.00
2023-03-12,+30.50
2023-03-13,+32.00
2023-03-14,+31.00
2023-03-15,+30.50
2023-03-16,+30.50
2023-03-17,+30.50
2023-03-18,+32.00
2023-03-19,+30.50
2023-03-20,+31.50
2023-03-21,+31.50
2023-03-22,+31.00
2023-03-23,+28.00
2023-03-24,+33.50
2023-03-25,+30.50
2023-03-26,+33.00
2023-03-27,+31.50
2023-03-28,+31.50
2023-03-29,+30.50
2023-03-30,+32.00
2023-03-31,+30.00
