Date,Value 
2022-06-01,+5.00
2022-06-02,+5.56
2022-06-03,+5.96
2022-06-04,+5.01
2022-06-05,+5.00
2022-06-06,+4.86
2022-06-07,+6.90
2022-06-08,+7.41
2022-06-09,+5.50
2022-06-10,+7.45
2022-06-11,+7.08
2022-06-12,+7.23
2022-06-13,+6.60
2022-06-14,+5.81
2022-06-15,+7.05
2022-06-16,+8.26
2022-06-17,+5.10
2022-06-18,+6.83
2022-06-19,+6.73
2022-06-20,+6.28
2022-06-21,+6.08
2022-06-22,+7.38
2022-06-23,+4.78
2022-06-24,+4.50
2022-06-25,+7.51
2022-06-26,+5.50
2022-06-27,+5.66
2022-06-28,+6.01
2022-06-29,+6.15
2022-06-30,+6.35
