Date,Value 
2022-03-01,+62.3
2022-03-02,+62.5
2022-03-03,+62.7
2022-03-04,+62.9
2022-03-05,+62.7
2022-03-06,+62.6
2022-03-07,+62.7
2022-03-09,+62.0
2022-03-10,+62.6
2022-03-11,+63.2
2022-03-12,+62.2
2022-03-14,+62.0
2022-03-15,+62.5
2022-03-16,+62.1
2022-03-17,+62.2
2022-03-18,+61.9
2022-03-19,+62.3
2022-03-20,+62.1
2022-03-21,+62.5
2022-03-22,+62.3
2022-03-23,+62.1
2022-03-24,+61.3
2022-03-25,+62.1
2022-03-26,+62.4
2022-03-27,+61.8
2022-03-28,+61.5
2022-03-29,+61.2
2022-03-30,+61.1
2022-03-31,+61.2
