Date,Value
2021-12-01,+35.4
2021-12-02,+35.6
2021-12-03,+35.2
2021-12-04,+36.2
2021-12-05,+35.8
2021-12-06,+35.5
2021-12-07,+35.8
2021-12-08,+36.0
2021-12-09,+35.8
2021-12-10,+35.8
2021-12-11,+36.1
2021-12-12,+35.9
2021-12-13,+35.8
2021-12-14,+36.3
2021-12-15,+35.4
2021-12-16,+36.1
2021-12-17,+36.1
2021-12-18,+35.7
2021-12-19,+35.8
2021-12-20,+36.0
2021-12-21,+35.5
2021-12-22,+36.1
2021-12-23,+35.5
2021-12-24,+35.4
2021-12-25,+35.6
2021-12-26,+35.8
2021-12-27,+36.1
2021-12-28,+35.6
2021-12-29,+35.1
2021-12-30,+35.9
2021-12-31,+35.8
